,0
867,"Patternmakers, Wood"
868,"Sawing Machine Setters, Operators, and Tenders, Wood"
869,"Woodworking Machine Setters, Operators, and Tenders, Except Sawing"
870,Nuclear Power Reactor Operators
871,Power Distributors and Dispatchers
872,Power Plant Operators
873,Stationary Engineers and Boiler Operators
874,Water and Wastewater Treatment Plant and System Operators
875,Chemical Plant and System Operators
876,Gas Plant Operators
877,"Petroleum Pump System Operators, Refinery Operators, and Gaugers"
878,Biofuels Processing Technicians
879,Biomass Plant Technicians
880,Hydroelectric Plant Technicians
881,Chemical Equipment Operators and Tenders
882,"Separating, Filtering, Clarifying, Precipitating, and Still Machine Setters, Operators, and Tenders"
883,"Crushing, Grinding, and Polishing Machine Setters, Operators, and Tenders"
884,"Grinding and Polishing Workers, Hand"
885,"Mixing and Blending Machine Setters, Operators, and Tenders"
886,"Cutters and Trimmers, Hand"
887,"Cutting and Slicing Machine Setters, Operators, and Tenders"
888,"Extruding, Forming, Pressing, and Compacting Machine Setters, Operators, and Tenders"
889,"Furnace, Kiln, Oven, Drier, and Kettle Operators and Tenders"
890,"Inspectors, Testers, Sorters, Samplers, and Weighers"
891,Jewelers
892,Gem and Diamond Workers
893,Precious Metal Workers
894,Dental Laboratory Technicians
895,Medical Appliance Technicians
896,Ophthalmic Laboratory Technicians
897,Packaging and Filling Machine Operators and Tenders
898,"Coating, Painting, and Spraying Machine Setters, Operators, and Tenders"
899,"Painters, Transportation Equipment"
900,"Painting, Coating, and Decorating Workers"
901,Semiconductor Processors
902,Photographic Process Workers and Processing Machine Operators
903,Adhesive Bonding Machine Operators and Tenders
904,"Cleaning, Washing, and Metal Pickling Equipment Operators and Tenders"
905,Cooling and Freezing Equipment Operators and Tenders
906,Etchers and Engravers
907,"Stone Cutters and Carvers, Manufacturing"
908,"Glass Blowers, Molders, Benders, and Finishers"
909,"Potters, Manufacturing"
910,Molding and Casting Workers
911,"Paper Goods Machine Setters, Operators, and Tenders"
912,Tire Builders
913,Helpers--Production Workers
914,Recycling and Reclamation Workers
915,Aircraft Cargo Handling Supervisors
916,"First-Line Supervisors of Helpers, Laborers, and Material Movers, Hand"
917,Recycling Coordinators
918,First-Line Supervisors of Transportation and Material-Moving Machine and Vehicle Operators
919,"Airline Pilots, Copilots, and Flight Engineers"
920,Commercial Pilots
921,Air Traffic Controllers
922,Airfield Operations Specialists
923,Flight Attendants
924,"Ambulance Drivers and Attendants, Except Emergency Medical Technicians"
925,"Bus Drivers, Transit and Intercity"
926,"Bus Drivers, School or Special Client"
927,Driver/Sales Workers
928,Heavy and Tractor-Trailer Truck Drivers
929,Light Truck or Delivery Services Drivers
930,Taxi Drivers and Chauffeurs
931,Locomotive Engineers
932,Locomotive Firers
933,"Rail Yard Engineers, Dinkey Operators, and Hostlers"
934,"Railroad Brake, Signal, and Switch Operators"
935,Railroad Conductors and Yardmasters
936,Subway and Streetcar Operators
937,Sailors and Marine Oilers
938,Ship and Boat Captains
939,"Mates- Ship, Boat, and Barge"
940,"Pilots, Ship"
941,Motorboat Operators
942,Ship Engineers
943,Bridge and Lock Tenders
944,Parking Lot Attendants
945,Automotive and Watercraft Service Attendants
946,Traffic Technicians
947,Aviation Inspectors
948,"Transportation Vehicle, Equipment and Systems Inspectors, Except Aviation"
949,Freight and Cargo Inspectors
950,"Transportation Attendants, Except Flight Attendants"
951,Conveyor Operators and Tenders
952,Crane and Tower Operators
953,Dredge Operators
954,Excavating and Loading Machine and Dragline Operators
955,"Loading Machine Operators, Underground Mining"
956,Hoist and Winch Operators
957,Industrial Truck and Tractor Operators
958,Cleaners of Vehicles and Equipment
959,"Laborers and Freight, Stock, and Material Movers, Hand"
960,Machine Feeders and Offbearers
961,"Packers and Packagers, Hand"
962,Gas Compressor and Gas Pumping Station Operators
963,"Pump Operators, Except Wellhead Pumpers"
964,Wellhead Pumpers
965,Refuse and Recyclable Material Collectors
966,Mine Shuttle Car Operators
967,"Tank Car, Truck, and Ship Loaders"
